file,SNR_clean_vs_recon_clean,SNR_degraded_vs_recon_degraded,SNR_recon_clean_vs_recon_degraded
p245_132_airportAnnouncement_0dB,-0.073,-2.583,-5.689
p245_132_airportAnnouncement_-5dB,-0.073,-3.603,-3.523
p245_132_airConditioner_5dB,-0.073,-1.488,-3.751
p245_132_munching_5dB,-0.073,-0.743,-4.978
p245_132_munching_10dB,-0.073,0.081,-5.647
p245_132_copyMachine_5dB,-0.073,-4.494,0.208
p245_132_copyMachine_-5dB,-0.073,nan,nan
p245_132_airConditioner_10dB,-0.073,-1.776,-6.611
p245_132_copyMachine_0dB,-0.073,-12.796,0.261
p245_132_copyMachine_10dB,-0.073,-2.148,-4.94
p245_132_airConditioner_-5dB,-0.073,nan,4.734
p245_132_airConditioner_0dB,-0.073,1.261,-2.366
p245_132_munching_0dB,-0.073,0.54,-4.928
p245_132_airportAnnouncement_10dB,-0.073,-0.366,-4.178
p245_132_airportAnnouncement_5dB,-0.073,-1.075,-4.801
p245_132_munching_-5dB,-0.073,0.919,-5.431
p241_017_airportAnnouncement_10dB,-1.243,-1.92,-2.083
p241_017_copyMachine_10dB,-1.243,-3.493,-2.036
p241_017_airportAnnouncement_5dB,-1.243,-2.18,-1.027
p241_017_munching_5dB,-1.243,-1.061,-2.816
p241_017_munching_-5dB,-1.243,-1.542,-1.336
p241_017_copyMachine_5dB,-1.243,-3.794,0.771
p241_017_airConditioner_5dB,-1.243,-1.385,-1.981
p241_017_airConditioner_10dB,-1.243,-1.199,-3.984
p241_017_airConditioner_-5dB,-1.243,nan,6.687
p241_017_airportAnnouncement_-5dB,-1.243,-8.1,1.582
p241_017_copyMachine_-5dB,-1.243,-22.027,6.44
p241_017_airConditioner_0dB,-1.243,-1.311,1.531
p241_017_copyMachine_0dB,-1.243,-8.671,5.062
p241_017_airportAnnouncement_0dB,-1.243,-3.749,-1.094
p241_017_munching_0dB,-1.243,-3.079,-2.596
p241_017_munching_10dB,-1.243,-1.519,-2.76
p234_003_airConditioner_10dB,-1.28,-4.685,-2.615
p234_003_copyMachine_-5dB,-1.28,nan,11.633
p234_003_airportAnnouncement_0dB,-1.28,-5.557,0.407
p234_003_munching_5dB,-1.28,-2.037,-2.36
p234_003_munching_10dB,-1.28,-1.814,-2.999
p234_003_airConditioner_0dB,-1.28,-2.658,1.225
p234_003_copyMachine_5dB,-1.28,-4.24,2.081
p234_003_airportAnnouncement_-5dB,-1.28,-7.696,3.06
p234_003_munching_-5dB,-1.28,-2.853,-0.946
p234_003_airConditioner_5dB,-1.28,-3.449,-0.405
p234_003_airportAnnouncement_10dB,-1.28,-2.721,-1.551
p234_003_copyMachine_0dB,-1.28,-7.317,5.15
p234_003_airConditioner_-5dB,-1.28,nan,3.934
p234_003_copyMachine_10dB,-1.28,-3.884,-1.517
p234_003_munching_0dB,-1.28,-1.797,-1.287
p234_003_airportAnnouncement_5dB,-1.28,-3.857,-1.043
